"code","type","name","image","pt_weight","pt_acceleration","pt_traction_onroad","pt_traction_offroad","pt_turbo_mini","pt_speed_land","pt_speed_water","pt_speed_antigravity","pt_speed_air","pt_handling_land","pt_handling_water","pt_handling_antigravity","pt_handling_air"
"","glider","Super Glider","SuperGliderMK8.png","1","1","1","1","1","1","1","0","2","1","0","1","1"
"","glider","Cloud Glider","Cloud Glider.png","0","2","1","1","2","0","1","1","1","1","0","1","2"
"","glider","Wario Wing","WarioWingMK8.png","2","1","2","0","1","1","0","1","2","1","1","0","1"
"","glider","Waddle Wing","WaddleWingMK8.png","1","1","1","1","1","1","1","0","2","1","0","1","1"
"","glider","Peach Parasol","PeachParasolGliderMK8.png","1","2","2","0","2","0","0","1","1","1","1","0","2"
"","glider","Parachute","ParachuteGliderMK8.png","0","2","1","1","2","0","1","1","1","1","0","1","2"
"","glider","Parafoil","ParafoilGliderMK8.png","1","2","2","0","2","0","0","1","1","1","1","0","2"
"","glider","Flower Glider","FlowerGliderMK8.png","0","2","1","1","2","0","1","1","1","1","0","1","2"
"","glider","Bowser Kite","BowserKiteMK8.png","1","2","2","0","2","0","0","1","1","1","1","0","2"
"","glider","Plane Glider","PlaneGliderMK8.png","2","1","2","0","1","1","0","1","2","1","1","0","1"
"","glider","MKTV Parafoil","MKTVParafoilGliderMK8.png","1","2","2","0","2","0","0","1","1","1","1","0","2"
"","glider","Gold Glider","GoldGliderMK8.png","2","1","2","0","1","1","0","1","2","1","1","0","1"
"","glider","Hylian Kite","MK8-HylianKite.png","1","1","1","1","1","1","1","0","2","1","0","1","1"
"","glider","Paper Glider","PaperGliderIcon-MK8.png","0","2","1","1","2","0","1","1","1","1","0","1","2"
