"code","type","name","image","pt_weight","pt_acceleration","pt_traction_onroad","pt_traction_offroad","pt_turbo_mini","pt_speed_land","pt_speed_water","pt_speed_antigravity","pt_speed_air","pt_handling_land","pt_handling_water","pt_handling_antigravity","pt_handling_air"
"","tyre","Standard","StandardTiresMK8.png","2","4","2","5","3","2","3","2","3","3","3","3","3"
"","tyre","Monster","MonsterTiresMK8.png","4","2","3","7","2","2","2","2","1","0","1","0","1"
"","tyre","Roller","RollerTiresMK8.png","0","6","0","4","6","0","3","0","3","4","4","4","4"
"","tyre","Slim","SlimTiresMK8.png","2","2","4","1","2","3","2","4","2","4","4","3","4"
"","tyre","Slick","SlickTiresMK8.png","3","1","4","0","0","4","0","4","0","2","0","2","1"
"","tyre","Metal","MetalTiresMK8.png","4","0","1","2","0","4","3","1","2","2","2","1","0"
"","tyre","Button","ButtonTiresMK8.png","0","5","1","3","5","1","2","2","2","3","3","4","2"
"","tyre","Off-Road","Off-Road.png","3","3","3","6","1","3","4","2","1","1","1","2","2"
"","tyre","Sponge","SpongeTiresMK8.png","1","4","2","6","4","1","1","1","4","2","1","2","3"
"","tyre","Wooden","WoodTiresMK8.png","2","2","4","1","2","3","2","4","2","4","4","3","4"
"","tyre","Cushion","CushionTiresMK8.png","1","4","2","6","4","1","1","1","4","2","1","2","3"
"","tyre","Normal Blue","Blue Standard.png","2","4","2","5","3","2","3","2","3","3","3","3","3"
"","tyre","Funky Monster","HotMonsterTiresMK8.png","4","2","3","7","2","2","2","2","1","0","1","0","1"
"","tyre","Azure Roller","AzureRollerTiresMK8.png","0","6","0","4","6","0","3","0","3","4","4","4","4"
"","tyre","Crimson Slim","CrimsonSlimTiresMK8.png","2","2","4","1","2","3","2","4","2","4","4","3","4"
"","tyre","Cyber Slick","CyberSlickTiresMK8.png","3","1","4","0","0","4","0","4","0","2","0","2","1"
"","tyre","Retro Off-Road","Retro Off-Road.png","3","3","3","6","1","3","4","2","1","1","1","2","2"
"","tyre","Gold Wheels","Gold Tires MK8.png","4","0","1","2","0","4","3","1","2","2","2","1","0"
"","tyre","GLA Wheels","GLATires-MK8.png","2","4","2","5","3","2","3","2","3","3","3","3","3"
"","tyre","Triforce Tyres","MK8-TriforceTires.png","3","3","3","6","1","3","4","2","1","1","1","2","2"
"","tyre","Leaf Tyres","Leaf Tires MK8.png","0","5","1","3","5","1","2","2","2","3","3","4","2"
