"code","type","name","image","pt_weight","pt_acceleration","pt_traction_onroad","pt_traction_offroad","pt_turbo_mini","pt_speed_land","pt_speed_water","pt_speed_antigravity","pt_speed_air","pt_handling_land","pt_handling_water","pt_handling_antigravity","pt_handling_air"
"","vehicle","Standard Kart","StandardKartBodyMK8.png","2","4","3","3","4","3","3","3","3","3","2","3","3"
"","vehicle","Pipe Frame","PipeFrameBodyMK8.png","1","6","3","4","6","1","3","1","1","5","4","4","2"
"","vehicle","Mach 8","Mach8BodyMK8.png","3","3","2","4","4","3","3","5","4","2","2","4","2"
"","vehicle","Steel Driver","Steel Driver.png","4","1","1","3","2","4","5","2","0","1","5","1","1"
"","vehicle","Cat Cruiser","CatCruiserBodyMK8.png","2","5","4","3","5","2","2","3","4","4","2","3","4"
"","vehicle","Circuit Special","CircuitSpecialBodyMK8.png","3","1","3","1","1","5","1","4","2","1","1","2","0"
"","vehicle","Tri-Speeder","TrispeederBodyMK8.png","4","1","1","3","2","4","5","2","0","1","5","1","1"
"","vehicle","Badwagon","BadwagonBodyMK8.png","4","0","2","5","0","5","2","3","1","0","1","1","0"
"","vehicle","Prancer","PrancerBodyMK8.png","1","2","1","2","3","4","3","3","3","3","3","2","3"
"","vehicle","Buggybud","BiddybuggyBodyMK8.png","0","7","1","4","7","0","1","2","1","5","4","5","4"
"","vehicle","Landship","LandshipBodyMK8.png","0","6","0","6","6","1","5","0","2","4","5","2","3"
"","vehicle","Sneeker","SneakerBodyMK8.png","2","2","1","0","3","4","2","3","3","3","2","3","2"
"","vehicle","Sports Coupé","SportsCoupeMK8.png","3","3","2","4","4","3","3","5","4","2","2","4","2"
"","vehicle","Gold Standard","Gold Standard.png","2","2","1","0","3","4","2","3","3","3","2","3","2"
"","vehicle","Standard Bike","StandardBikeBodyMK8.png","1","5","3","5","5","2","2","4","3","4","3","4","3"
"","vehicle","Comet","CometBodyMK8.png","2","5","4","3","5","2","2","3","4","4","2","3","4"
"","vehicle","Sport Bike","SportBikeBodyMK8.png","1","2","1","2","3","4","3","3","3","3","3","2","3"
"","vehicle","The Duke","TheDukeBodyMK8.png","2","4","3","3","4","3","3","3","3","3","2","3","3"
"","vehicle","Flame Rider","FlameRiderBodyMK8.png","1","5","3","5","5","2","2","4","3","4","3","4","3"
"","vehicle","Varmint","VarmintBodyMK8.png","1","6","3","4","6","1","3","1","1","5","4","4","2"
"","vehicle","Mr Scooty","MrScootyBodyMK8.png","0","7","1","4","7","0","1","2","1","5","4","5","4"
"","vehicle","Jet Bike","JetBikeBodyMK8.png","1","2","1","2","3","4","3","3","3","3","3","2","3"
"","vehicle","Yoshi Bike","YoshiBikeBodyMK8.png","2","5","4","3","5","2","2","3","4","4","2","3","4"
"","vehicle","Standard Quad","StandardATVBodyMK8.png","4","0","2","5","0","5","2","3","1","0","1","1","0"
"","vehicle","Wild Wiggler","WildWigglerBodyMK8.png","1","5","3","5","5","2","2","4","3","4","3","4","3"
"","vehicle","Teddy Buggy","TeddyBuggyBodyMK8.png","2","5","4","3","5","2","2","3","4","4","2","3","4"
"","vehicle","GLA","GLA-MK8.png","4","0","2","5","0","5","2","3","1","0","1","1","0"
"","vehicle","W 25 Silver Arrow","W25SilverArrow-MK8.png","1","5","3","5","5","2","2","4","3","4","3","4","3"
"","vehicle","300 SL Roadster","300SLRoadster MK8.png","2","4","3","3","4","3","3","3","3","3","2","3","3"
"","vehicle","Blue Falcon","MK8BlueFalcon.png","0","3","1","3","3","4","2","4","3","2","3","5","1"
"","vehicle","Tanooki Kart","MK8 Tanooki Buggy Sprite.png","3","2","4","7","3","2","4","3","3","4","4","3","3"
"","vehicle","B Dasher","ZeldaMK8Bdasher.png","3","1","3","1","1","5","1","4","2","1","1","2","0"
"","vehicle","Master Cycle","MK8MasterCycle.png","2","2","1","0","3","4","2","3","3","3","2","3","2"
"","vehicle","Streetle","MK8Streetle.png","0","6","0","6","6","1","5","0","2","4","5","2","3"
"","vehicle","P-Wing","MK8PWing.png","3","1","3","1","1","5","1","4","2","1","1","2","0"
"","vehicle","City Tripper","MK8 Light-Green City Tripper.png","1","6","3","4","6","1","3","1","1","5","4","4","2"
"","vehicle","Bone Rattler","MK8BoneRattler.png","4","1","1","3","2","4","5","2","0","1","5","1","1"
"","vehicle","Koopa Clown","MK8DX Koopa Clown.png","3","2","4","7","3","2","4","3","3","4","4","3","3"
"","vehicle","Splat Buggy","MK8DX Splat Buggy.png","0","3","1","3","3","4","2","4","3","2","3","5","1"
"","vehicle","Inkstriker","MK8DX Inkstriker.png","3","3","2","4","4","3","3","5","4","2","2","4","2"
